"","size","year"
"160",1054,73
"161",1106,73
"162",1128,73
"163",1160,73
"164",1253,73
"165",1256,73
"166",1276,73
"167",1291,73
"168",1310,73
"169",1400,73
"170",1446,73
"171",1525,73
"172",1734,73
"173",1749,73
"174",1803,73
"175",1810,73
"176",1822,73
"177",1848,73
"178",1907,73
"179",1925,73
"180",1939,73
"181",1995,73
"182",2143,73
"183",2411,73
"184",2429,73
"185",2659,73
"186",3000,73
"187",3053,73
"188",3210,73
"189",3387,73
"190",3501,73
"191",3581,73
"192",3643,73
"193",3651,73
"194",3676,73
"195",3888,73
"196",4027,73
"197",4304,73
"198",4920,73
"199",5230,73
"200",5854,73
"201",7105,73
"202",7133,73
"203",7325,73
"204",8480,73
"205",9875,73
"206",27200,73
"207",500,74
"208",502,74
"209",510,74
"210",513,74
"211",515,74
"212",516,74
"213",522,74
"214",522,74
"215",530,74
"216",532,74
"217",544,74
"218",545,74
"219",548,74
"220",549,74
"221",550,74
"222",553,74
"223",558,74
"224",559,74
"225",562,74
"226",563,74
"227",570,74
"228",584,74
"229",587,74
"230",590,74
"231",595,74
"232",600,74
"233",600,74
"234",602,74
"235",624,74
"236",630,74
"237",631,74
"238",633,74
"239",640,74
"240",646,74
"241",678,74
"242",680,74
"243",696,74
"244",701,74
"245",706,74
"246",719,74
"247",721,74
"248",750,74
"249",753,74
"250",754,74
"251",778,74
"252",780,74
"253",782,74
"254",784,74
"255",800,74
"256",800,74
"257",830,74
"258",850,74
"259",878,74
"260",883,74
"261",883,74
"262",901,74
"263",907,74
"264",910,74
"265",916,74
"266",916,74
"267",945,74
"268",984,74
"269",1008,74
"270",1010,74
"271",1037,74
"272",1100,74
"273",1102,74
"274",1112,74
"275",1126,74
"276",1272,74
"277",1288,74
"278",1385,74
"279",1469,74
"280",1492,74
"281",1500,74
"282",1517,74
"283",1519,74
"284",1530,74
"285",1654,74
"286",1677,74
"287",1701,74
"288",1759,74
"289",1810,74
"290",1851,74
"291",1872,74
"292",1879,74
"293",1886,74
"294",1939,74
"295",1974,74
"296",1993,74
"297",2059,74
"298",2185,74
"299",2187,74
"300",2200,74
"301",2538,74
"302",2652,74
"303",2729,74
"304",2735,74
"305",3000,74
"306",3285,74
"307",3798,74
"308",5416,74
"309",6088,74
"310",6449,74
"311",6805,74
"312",7591,74
"313",9428,74
"314",10665,74
"315",18878,74
"316",41620,74
"317",500,75
"318",500,75
"319",500,75
"320",502,75
"321",515,75
"322",515,75
"323",528,75
"324",530,75
"325",530,75
"326",530,75
"327",540,75
"328",544,75
"329",550,75
"330",550,75
"331",551,75
"332",552,75
"333",557,75
"334",558,75
"335",570,75
"336",572,75
"337",574,75
"338",579,75
"339",583,75
"340",584,75
"341",586,75
"342",593,75
"343",596,75
"344",596,75
"345",600,75
"346",600,75
"347",600,75
"348",605,75
"349",610,75
"350",610,75
"351",613,75
"352",615,75
"353",620,75
"354",622,75
"355",632,75
"356",635,75
"357",635,75
"358",640,75
"359",650,75
"360",650,75
"361",650,75
"362",650,75
"363",672,75
"364",674,75
"365",680,75
"366",700,75
"367",725,75
"368",728,75
"369",736,75
"370",737,75
"371",740,75
"372",748,75
"373",752,75
"374",756,75
"375",756,75
"376",777,75
"377",798,75
"378",800,75
"379",800,75
"380",800,75
"381",826,75
"382",835,75
"383",862,75
"384",885,75
"385",900,75
"386",900,75
"387",910,75
"388",912,75
"389",927,75
"390",940,75
"391",940,75
"392",948,75
"393",957,75
"394",1000,75
"395",1002,75
"396",1009,75
"397",1013,75
"398",1020,75
"399",1024,75
"400",1033,75
"401",1038,75
"402",1041,75
"403",1104,75
"404",1108,75
"405",1137,75
"406",1143,75
"407",1180,75
"408",1243,75
"409",1248,75
"410",1252,75
"411",1280,75
"412",1285,75
"413",1291,75
"414",1293,75
"415",1298,75
"416",1300,75
"417",1305,75
"418",1327,75
"419",1387,75
"420",1455,75
"421",1475,75
"422",1479,75
"423",1485,75
"424",1491,75
"425",1515,75
"426",1519,75
"427",1587,75
"428",1700,75
"429",1708,75
"430",1820,75
"431",1822,75
"432",1848,75
"433",1906,75
"434",2110,75
"435",2251,75
"436",2362,75
"437",2497,75
"438",2690,75
"439",2760,75
"440",2794,75
"441",2886,75
"442",2924,75
"443",2953,75
"444",3289,75
"445",3860,75
"446",4016,75
"447",4300,75
"448",4397,75
"449",4585,75
"450",4810,75
"451",6855,75
"452",7371,75
"453",7772,75
"454",7834,75
"455",13000,75
"456",13484,75
"457",17237,75
"458",52600,75
"459",500,76
"460",500,76
"461",503,76
"462",503,76
"463",505,76
"464",505,76
"465",508,76
"466",513,76
"467",514,76
"468",519,76
"469",520,76
"470",520,76
"471",520,76
"472",523,76
"473",524,76
"474",527,76
"475",529,76
"476",529,76
"477",530,76
"478",532,76
"479",537,76
"480",538,76
"481",539,76
"482",540,76
"483",540,76
"484",544,76
"485",545,76
"486",550,76
"487",552,76
"488",555,76
"489",559,76
"490",560,76
"491",566,76
"492",566,76
"493",570,76
"494",571,76
"495",571,76
"496",582,76
"497",585,76
"498",590,76
"499",593,76
"500",598,76
"501",600,76
"502",600,76
"503",600,76
"504",600,76
"505",603,76
"506",605,76
"507",610,76
"508",610,76
"509",618,76
"510",619,76
"511",620,76
"512",624,76
"513",630,76
"514",631,76
"515",650,76
"516",651,76
"517",655,76
"518",655,76
"519",660,76
"520",675,76
"521",675,76
"522",680,76
"523",699,76
"524",699,76
"525",702,76
"526",704,76
"527",708,76
"528",709,76
"529",710,76
"530",722,76
"531",737,76
"532",760,76
"533",764,76
"534",766,76
"535",766,76
"536",773,76
"537",779,76
"538",785,76
"539",786,76
"540",790,76
"541",790,76
"542",796,76
"543",800,76
"544",802,76
"545",802,76
"546",823,76
"547",830,76
"548",832,76
"549",837,76
"550",840,76
"551",848,76
"552",850,76
"553",850,76
"554",855,76
"555",865,76
"556",868,76
"557",894,76
"558",911,76
"559",920,76
"560",935,76
"561",945,76
"562",949,76
"563",972,76
"564",1000,76
"565",1000,76
"566",1000,76
"567",1036,76
"568",1066,76
"569",1087,76
"570",1098,76
"571",1106,76
"572",1126,76
"573",1132,76
"574",1162,76
"575",1164,76
"576",1165,76
"577",1165,76
"578",1196,76
"579",1202,76
"580",1210,76
"581",1230,76
"582",1236,76
"583",1250,76
"584",1274,76
"585",1275,76
"586",1288,76
"587",1289,76
"588",1299,76
"589",1358,76
"590",1369,76
"591",1369,76
"592",1400,76
"593",1410,76
"594",1430,76
"595",1440,76
"596",1446,76
"597",1460,76
"598",1471,76
"599",1510,76
"600",1583,76
"601",1589,76
"602",1600,76
"603",1647,76
"604",1660,76
"605",1680,76
"606",1723,76
"607",1725,76
"608",1825,76
"609",1876,76
"610",1893,76
"611",1895,76
"612",1922,76
"613",1952,76
"614",1985,76
"615",2000,76
"616",2014,76
"617",2032,76
"618",2159,76
"619",2171,76
"620",2230,76
"621",2233,76
"622",2305,76
"623",2350,76
"624",2399,76
"625",2493,76
"626",2515,76
"627",2531,76
"628",2584,76
"629",2667,76
"630",2686,76
"631",2728,76
"632",2832,76
"633",2836,76
"634",2838,76
"635",3040,76
"636",3097,76
"637",3240,76
"638",3285,76
"639",3364,76
"640",3512,76
"641",3620,76
"642",3835,76
"643",3962,76
"644",4053,76
"645",4261,76
"646",4272,76
"647",4500,76
"648",4822,76
"649",4933,76
"650",5062,76
"651",5142,76
"652",5154,76
"653",5470,76
"654",6000,76
"655",6000,76
"656",6139,76
"657",6246,76
"658",7739,76
"659",7871,76
"660",8168,76
"661",9144,76
"662",9500,76
"663",15190,76
"664",27983,76
"665",196359,76
"666",500,77
"667",500,77
"668",500,77
"669",500,77
"670",500,77
"671",501,77
"672",502,77
"673",503,77
"674",503,77
"675",506,77
"676",507,77
"677",508,77
"678",515,77
"679",515,77
"680",520,77
"681",520,77
"682",521,77
"683",525,77
"684",525,77
"685",529,77
"686",530,77
"687",530,77
"688",530,77
"689",536,77
"690",538,77
"691",539,77
"692",540,77
"693",541,77
"694",541,77
"695",544,77
"696",546,77
"697",555,77
"698",558,77
"699",559,77
"700",560,77
"701",570,77
"702",570,77
"703",570,77
"704",571,77
"705",572,77
"706",572,77
"707",578,77
"708",579,77
"709",580,77
"710",580,77
"711",590,77
"712",597,77
"713",600,77
"714",600,77
"715",600,77
"716",601,77
"717",605,77
"718",607,77
"719",607,77
"720",610,77
"721",610,77
"722",613,77
"723",615,77
"724",625,77
"725",627,77
"726",630,77
"727",633,77
"728",639,77
"729",641,77
"730",645,77
"731",650,77
"732",650,77
"733",650,77
"734",650,77
"735",650,77
"736",650,77
"737",655,77
"738",656,77
"739",657,77
"740",670,77
"741",675,77
"742",678,77
"743",679,77
"744",680,77
"745",682,77
"746",686,77
"747",700,77
"748",700,77
"749",722,77
"750",723,77
"751",725,77
"752",728,77
"753",740,77
"754",750,77
"755",750,77
"756",752,77
"757",770,77
"758",770,77
"759",775,77
"760",776,77
"761",785,77
"762",788,77
"763",793,77
"764",794,77
"765",797,77
"766",800,77
"767",801,77
"768",804,77
"769",815,77
"770",820,77
"771",840,77
"772",850,77
"773",870,77
"774",873,77
"775",875,77
"776",889,77
"777",900,77
"778",903,77
"779",905,77
"780",917,77
"781",923,77
"782",928,77
"783",931,77
"784",940,77
"785",958,77
"786",979,77
"787",982,77
"788",988,77
"789",990,77
"790",990,77
"791",999,77
"792",1000,77
"793",1000,77
"794",1000,77
"795",1001,77
"796",1008,77
"797",1009,77
"798",1015,77
"799",1016,77
"800",1024,77
"801",1042,77
"802",1055,77
"803",1055,77
"804",1055,77
"805",1060,77
"806",1088,77
"807",1094,77
"808",1108,77
"809",1110,77
"810",1121,77
"811",1122,77
"812",1130,77
"813",1130,77
"814",1138,77
"815",1172,77
"816",1172,77
"817",1196,77
"818",1200,77
"819",1221,77
"820",1240,77
"821",1240,77
"822",1265,77
"823",1274,77
"824",1285,77
"825",1287,77
"826",1289,77
"827",1291,77
"828",1353,77
"829",1355,77
"830",1360,77
"831",1430,77
"832",1436,77
"833",1450,77
"834",1483,77
"835",1510,77
"836",1550,77
"837",1552,77
"838",1562,77
"839",1570,77
"840",1594,77
"841",1618,77
"842",1628,77
"843",1647,77
"844",1699,77
"845",1712,77
"846",1733,77
"847",1738,77
"848",1743,77
"849",1750,77
"850",1859,77
"851",1890,77
"852",1933,77
"853",1943,77
"854",1956,77
"855",2060,77
"856",2065,77
"857",2185,77
"858",2205,77
"859",2230,77
"860",2298,77
"861",2376,77
"862",2384,77
"863",2391,77
"864",2438,77
"865",2446,77
"866",2454,77
"867",2485,77
"868",2503,77
"869",2524,77
"870",2575,77
"871",2600,77
"872",2746,77
"873",2819,77
"874",3000,77
"875",3055,77
"876",3077,77
"877",3114,77
"878",3565,77
"879",3944,77
"880",4071,77
"881",4260,77
"882",4425,77
"883",4792,77
"884",4977,77
"885",5023,77
"886",5400,77
"887",5494,77
"888",6443,77
"889",6705,77
"890",7555,77
"891",7640,77
"892",8403,77
"893",8988,77
"894",9387,77
"895",11953,77
"896",14133,77
"897",19275,77
"898",25214,77
"899",26631,77
"900",95032,77
"901",500,78
"902",500,78
"903",500,78
"904",500,78
"905",500,78
"906",500,78
"907",500,78
"908",500,78
"909",500,78
"910",500,78
"911",500,78
"912",500,78
"913",501,78
"914",503,78
"915",503,78
"916",504,78
"917",505,78
"918",506,78
"919",506,78
"920",508,78
"921",509,78
"922",510,78
"923",510,78
"924",511,78
"925",512,78
"926",512,78
"927",515,78
"928",515,78
"929",515,78
"930",520,78
"931",522,78
"932",523,78
"933",525,78
"934",525,78
"935",527,78
"936",528,78
"937",531,78
"938",534,78
"939",535,78
"940",535,78
"941",537,78
"942",540,78
"943",540,78
"944",550,78
"945",550,78
"946",550,78
"947",550,78
"948",550,78
"949",550,78
"950",550,78
"951",550,78
"952",555,78
"953",560,78
"954",560,78
"955",560,78
"956",566,78
"957",566,78
"958",573,78
"959",576,78
"960",580,78
"961",580,78
"962",580,78
"963",584,78
"964",590,78
"965",590,78
"966",597,78
"967",600,78
"968",600,78
"969",600,78
"970",600,78
"971",600,78
"972",600,78
"973",604,78
"974",604,78
"975",605,78
"976",610,78
"977",613,78
"978",616,78
"979",617,78
"980",619,78
"981",625,78
"982",628,78
"983",630,78
"984",637,78
"985",639,78
"986",640,78
"987",641,78
"988",642,78
"989",647,78
"990",647,78
"991",650,78
"992",653,78
"993",656,78
"994",657,78
"995",662,78
"996",665,78
"997",675,78
"998",685,78
"999",695,78
"1000",700,78
"1001",714,78
"1002",715,78
"1003",715,78
"1004",720,78
"1005",720,78
"1006",731,78
"1007",735,78
"1008",738,78
"1009",741,78
"1010",750,78
"1011",750,78
"1012",752,78
"1013",756,78
"1014",757,78
"1015",760,78
"1016",763,78
"1017",770,78
"1018",770,78
"1019",772,78
"1020",773,78
"1021",780,78
"1022",780,78
"1023",785,78
"1024",794,78
"1025",800,78
"1026",800,78
"1027",800,78
"1028",800,78
"1029",800,78
"1030",806,78
"1031",806,78
"1032",814,78
"1033",815,78
"1034",820,78
"1035",823,78
"1036",848,78
"1037",858,78
"1038",860,78
"1039",865,78
"1040",875,78
"1041",880,78
"1042",885,78
"1043",900,78
"1044",900,78
"1045",911,78
"1046",915,78
"1047",920,78
"1048",920,78
"1049",926,78
"1050",938,78
"1051",948,78
"1052",950,78
"1053",971,78
"1054",975,78
"1055",977,78
"1056",978,78
"1057",988,78
"1058",1000,78
"1059",1000,78
"1060",1001,78
"1061",1009,78
"1062",1020,78
"1063",1020,78
"1064",1020,78
"1065",1031,78
"1066",1038,78
"1067",1053,78
"1068",1060,78
"1069",1061,78
"1070",1077,78
"1071",1078,78
"1072",1080,78
"1073",1080,78
"1074",1084,78
"1075",1085,78
"1076",1094,78
"1077",1094,78
"1078",1098,78
"1079",1111,78
"1080",1117,78
"1081",1124,78
"1082",1125,78
"1083",1130,78
"1084",1135,78
"1085",1145,78
"1086",1168,78
"1087",1175,78
"1088",1180,78
"1089",1187,78
"1090",1192,78
"1091",1196,78
"1092",1200,78
"1093",1200,78
"1094",1236,78
"1095",1241,78
"1096",1245,78
"1097",1251,78
"1098",1258,78
"1099",1270,78
"1100",1273,78
"1101",1275,78
"1102",1287,78
"1103",1300,78
"1104",1307,78
"1105",1317,78
"1106",1347,78
"1107",1370,78
"1108",1400,78
"1109",1407,78
"1110",1413,78
"1111",1435,78
"1112",1442,78
"1113",1459,78
"1114",1480,78
"1115",1483,78
"1116",1500,78
"1117",1500,78
"1118",1500,78
"1119",1520,78
"1120",1552,78
"1121",1572,78
"1122",1582,78
"1123",1601,78
"1124",1609,78
"1125",1612,78
"1126",1620,78
"1127",1625,78
"1128",1629,78
"1129",1660,78
"1130",1661,78
"1131",1664,78
"1132",1715,78
"1133",1720,78
"1134",1723,78
"1135",1747,78
"1136",1750,78
"1137",1787,78
"1138",1834,78
"1139",1883,78
"1140",1903,78
"1141",1924,78
"1142",1941,78
"1143",2005,78
"1144",2006,78
"1145",2013,78
"1146",2015,78
"1147",2050,78
"1148",2055,78
"1149",2066,78
"1150",2101,78
"1151",2109,78
"1152",2125,78
"1153",2160,78
"1154",2185,78
"1155",2190,78
"1156",2220,78
"1157",2233,78
"1158",2310,78
"1159",2329,78
"1160",2353,78
"1161",2360,78
"1162",2415,78
"1163",2468,78
"1164",2500,78
"1165",2621,78
"1166",2682,78
"1167",2797,78
"1168",3010,78
"1169",3061,78
"1170",3317,78
"1171",3435,78
"1172",3463,78
"1173",3527,78
"1174",3678,78
"1175",3695,78
"1176",3839,78
"1177",4091,78
"1178",4130,78
"1179",4222,78
"1180",4499,78
"1181",4600,78
"1182",4900,78
"1183",5076,78
"1184",5222,78
"1185",5997,78
"1186",7543,78
"1187",7588,78
"1188",7989,78
"1189",8050,78
"1190",8256,78
"1191",8273,78
"1192",8491,78
"1193",9005,78
"1194",14971,78
"1195",18418,78
"1196",24012,78
"1197",26804,78
"1198",32120,78
"1199",75841,78
"1200",500,79
"1201",500,79
"1202",500,79
"1203",500,79
"1204",500,79
"1205",500,79
"1206",500,79
"1207",500,79
"1208",501,79
"1209",501,79
"1210",502,79
"1211",503,79
"1212",505,79
"1213",505,79
"1214",510,79
"1215",512,79
"1216",515,79
"1217",515,79
"1218",520,79
"1219",521,79
"1220",522,79
"1221",522,79
"1222",522,79
"1223",524,79
"1224",530,79
"1225",530,79
"1226",533,79
"1227",535,79
"1228",535,79
"1229",535,79
"1230",537,79
"1231",539,79
"1232",539,79
"1233",540,79
"1234",540,79
"1235",547,79
"1236",550,79
"1237",550,79
"1238",550,79
"1239",553,79
"1240",555,79
"1241",555,79
"1242",555,79
"1243",556,79
"1244",557,79
"1245",560,79
"1246",563,79
"1247",565,79
"1248",565,79
"1249",567,79
"1250",568,79
"1251",570,79
"1252",570,79
"1253",570,79
"1254",575,79
"1255",575,79
"1256",577,79
"1257",584,79
"1258",584,79
"1259",585,79
"1260",585,79
"1261",588,79
"1262",590,79
"1263",590,79
"1264",590,79
"1265",591,79
"1266",592,79
"1267",600,79
"1268",600,79
"1269",600,79
"1270",600,79
"1271",601,79
"1272",602,79
"1273",610,79
"1274",610,79
"1275",614,79
"1276",614,79
"1277",615,79
"1278",615,79
"1279",616,79
"1280",628,79
"1281",630,79
"1282",630,79
"1283",630,79
"1284",632,79
"1285",635,79
"1286",637,79
"1287",640,79
"1288",640,79
"1289",640,79
"1290",646,79
"1291",650,79
"1292",652,79
"1293",652,79
"1294",653,79
"1295",654,79
"1296",660,79
"1297",660,79
"1298",660,79
"1299",665,79
"1300",667,79
"1301",668,79
"1302",670,79
"1303",671,79
"1304",677,79
"1305",678,79
"1306",680,79
"1307",682,79
"1308",690,79
"1309",695,79
"1310",700,79
"1311",700,79
"1312",700,79
"1313",702,79
"1314",703,79
"1315",705,79
"1316",706,79
"1317",707,79
"1318",715,79
"1319",718,79
"1320",719,79
"1321",720,79
"1322",720,79
"1323",726,79
"1324",731,79
"1325",739,79
"1326",740,79
"1327",742,79
"1328",743,79
"1329",744,79
"1330",750,79
"1331",752,79
"1332",758,79
"1333",760,79
"1334",760,79
"1335",769,79
"1336",774,79
"1337",780,79
"1338",785,79
"1339",786,79
"1340",800,79
"1341",800,79
"1342",800,79
"1343",800,79
"1344",800,79
"1345",800,79
"1346",801,79
"1347",801,79
"1348",806,79
"1349",810,79
"1350",814,79
"1351",820,79
"1352",825,79
"1353",830,79
"1354",837,79
"1355",844,79
"1356",850,79
"1357",850,79
"1358",850,79
"1359",852,79
"1360",855,79
"1361",860,79
"1362",860,79
"1363",869,79
"1364",873,79
"1365",875,79
"1366",885,79
"1367",887,79
"1368",891,79
"1369",891,79
"1370",900,79
"1371",900,79
"1372",900,79
"1373",900,79
"1374",909,79
"1375",912,79
"1376",930,79
"1377",930,79
"1378",935,79
"1379",940,79
"1380",940,79
"1381",941,79
"1382",952,79
"1383",955,79
"1384",955,79
"1385",957,79
"1386",980,79
"1387",987,79
"1388",988,79
"1389",995,79
"1390",1000,79
"1391",1000,79
"1392",1000,79
"1393",1000,79
"1394",1010,79
"1395",1010,79
"1396",1020,79
"1397",1024,79
"1398",1026,79
"1399",1031,79
"1400",1032,79
"1401",1043,79
"1402",1050,79
"1403",1051,79
"1404",1070,79
"1405",1070,79
"1406",1075,79
"1407",1090,79
"1408",1090,79
"1409",1093,79
"1410",1095,79
"1411",1100,79
"1412",1100,79
"1413",1105,79
"1414",1110,79
"1415",1150,79
"1416",1150,79
"1417",1152,79
"1418",1160,79
"1419",1161,79
"1420",1168,79
"1421",1169,79
"1422",1170,79
"1423",1201,79
"1424",1203,79
"1425",1214,79
"1426",1220,79
"1427",1233,79
"1428",1250,79
"1429",1252,79
"1430",1252,79
"1431",1261,79
"1432",1276,79
"1433",1279,79
"1434",1290,79
"1435",1290,79
"1436",1295,79
"1437",1319,79
"1438",1323,79
"1439",1326,79
"1440",1328,79
"1441",1328,79
"1442",1330,79
"1443",1337,79
"1444",1339,79
"1445",1345,79
"1446",1352,79
"1447",1385,79
"1448",1397,79
"1449",1400,79
"1450",1400,79
"1451",1405,79
"1452",1408,79
"1453",1441,79
"1454",1445,79
"1455",1468,79
"1456",1510,79
"1457",1514,79
"1458",1530,79
"1459",1550,79
"1460",1600,79
"1461",1610,79
"1462",1627,79
"1463",1631,79
"1464",1639,79
"1465",1650,79
"1466",1678,79
"1467",1705,79
"1468",1767,79
"1469",1800,79
"1470",1817,79
"1471",1825,79
"1472",1836,79
"1473",1858,79
"1474",1887,79
"1475",1900,79
"1476",1932,79
"1477",1961,79
"1478",2005,79
"1479",2014,79
"1480",2027,79
"1481",2035,79
"1482",2054,79
"1483",2116,79
"1484",2144,79
"1485",2200,79
"1486",2213,79
"1487",2230,79
"1488",2234,79
"1489",2242,79
"1490",2281,79
"1491",2327,79
"1492",2339,79
"1493",2340,79
"1494",2342,79
"1495",2342,79
"1496",2387,79
"1497",2428,79
"1498",2481,79
"1499",2507,79
"1500",2545,79
"1501",2560,79
"1502",2645,79
"1503",2679,79
"1504",2698,79
"1505",2700,79
"1506",2747,79
"1507",2759,79
"1508",2824,79
"1509",2876,79
"1510",2970,79
"1511",3283,79
"1512",3296,79
"1513",3300,79
"1514",3332,79
"1515",3345,79
"1516",3363,79
"1517",3383,79
"1518",3583,79
"1519",3674,79
"1520",3702,79
"1521",3891,79
"1522",3904,79
"1523",4000,79
"1524",4043,79
"1525",4095,79
"1526",4207,79
"1527",4210,79
"1528",4234,79
"1529",4300,79
"1530",4885,79
"1531",4918,79
"1532",5100,79
"1533",5335,79
"1534",5398,79
"1535",5506,79
"1536",5512,79
"1537",5772,79
"1538",6602,79
"1539",6980,79
"1540",7066,79
"1541",7254,79
"1542",7257,79
"1543",7672,79
"1544",7861,79
"1545",8444,79
"1546",8470,79
"1547",8742,79
"1548",9000,79
"1549",9117,79
"1550",9558,79
"1551",9636,79
"1552",14089,79
"1553",14537,79
"1554",19474,79
"1555",500,80
"1556",500,80
"1557",500,80
"1558",500,80
"1559",500,80
"1560",500,80
"1561",500,80
"1562",500,80
"1563",500,80
"1564",500,80
"1565",500,80
"1566",500,80
"1567",505,80
"1568",507,80
"1569",508,80
"1570",513,80
"1571",514,80
"1572",520,80
"1573",520,80
"1574",520,80
"1575",520,80
"1576",524,80
"1577",528,80
"1578",530,80
"1579",530,80
"1580",530,80
"1581",530,80
"1582",531,80
"1583",532,80
"1584",535,80
"1585",536,80
"1586",537,80
"1587",538,80
"1588",540,80
"1589",540,80
"1590",540,80
"1591",541,80
"1592",541,80
"1593",545,80
"1594",546,80
"1595",547,80
"1596",549,80
"1597",550,80
"1598",550,80
"1599",550,80
"1600",550,80
"1601",550,80
"1602",550,80
"1603",550,80
"1604",551,80
"1605",553,80
"1606",558,80
"1607",559,80
"1608",560,80
"1609",560,80
"1610",565,80
"1611",565,80
"1612",567,80
"1613",568,80
"1614",570,80
"1615",571,80
"1616",575,80
"1617",575,80
"1618",578,80
"1619",580,80
"1620",580,80
"1621",580,80
"1622",580,80
"1623",582,80
"1624",582,80
"1625",583,80
"1626",585,80
"1627",585,80
"1628",585,80
"1629",590,80
"1630",593,80
"1631",595,80
"1632",595,80
"1633",595,80
"1634",598,80
"1635",600,80
"1636",600,80
"1637",600,80
"1638",600,80
"1639",600,80
"1640",600,80
"1641",600,80
"1642",600,80
"1643",600,80
"1644",600,80
"1645",602,80
"1646",605,80
"1647",606,80
"1648",606,80
"1649",607,80
"1650",610,80
"1651",612,80
"1652",612,80
"1653",615,80
"1654",618,80
"1655",620,80
"1656",623,80
"1657",625,80
"1658",625,80
"1659",630,80
"1660",632,80
"1661",633,80
"1662",635,80
"1663",635,80
"1664",640,80
"1665",642,80
"1666",650,80
"1667",650,80
"1668",650,80
"1669",650,80
"1670",652,80
"1671",655,80
"1672",656,80
"1673",660,80
"1674",664,80
"1675",665,80
"1676",670,80
"1677",671,80
"1678",675,80
"1679",675,80
"1680",680,80
"1681",683,80
"1682",685,80
"1683",685,80
"1684",691,80
"1685",695,80
"1686",697,80
"1687",701,80
"1688",703,80
"1689",710,80
"1690",718,80
"1691",720,80
"1692",721,80
"1693",732,80
"1694",735,80
"1695",735,80
"1696",737,80
"1697",738,80
"1698",747,80
"1699",749,80
"1700",750,80
"1701",756,80
"1702",757,80
"1703",762,80
"1704",764,80
"1705",765,80
"1706",775,80
"1707",785,80
"1708",793,80
"1709",793,80
"1710",795,80
"1711",795,80
"1712",797,80
"1713",799,80
"1714",800,80
"1715",800,80
"1716",806,80
"1717",808,80
"1718",810,80
"1719",815,80
"1720",820,80
"1721",822,80
"1722",822,80
"1723",830,80
"1724",830,80
"1725",831,80
"1726",832,80
"1727",834,80
"1728",834,80
"1729",844,80
"1730",845,80
"1731",847,80
"1732",850,80
"1733",850,80
"1734",850,80
"1735",856,80
"1736",859,80
"1737",860,80
"1738",863,80
"1739",869,80
"1740",870,80
"1741",870,80
"1742",874,80
"1743",878,80
"1744",880,80
"1745",881,80
"1746",882,80
"1747",892,80
"1748",895,80
"1749",900,80
"1750",900,80
"1751",900,80
"1752",906,80
"1753",918,80
"1754",925,80
"1755",925,80
"1756",928,80
"1757",930,80
"1758",931,80
"1759",932,80
"1760",934,80
"1761",940,80
"1762",945,80
"1763",958,80
"1764",959,80
"1765",970,80
"1766",975,80
"1767",975,80
"1768",990,80
"1769",998,80
"1770",1000,80
"1771",1000,80
"1772",1000,80
"1773",1000,80
"1774",1004,80
"1775",1024,80
"1776",1027,80
"1777",1028,80
"1778",1029,80
"1779",1030,80
"1780",1033,80
"1781",1033,80
